51,12,warriorii,tree,triangle
-90,91,2,-5,13,-45,-11,12,-84,85,-93,92,0
-90,91,-85,82,-90,91,-11,12,-116,117,-113,112,0
-90,92,-82,76,-86,85,-13,13,-113,108,-109,105,0
-90,90,-82,77,-86,83,-11,14,-110,109,-107,104,0
-85,94,-27,23,-29,27,-10,13,-109,117,-84,83,0
-48,138,-29,72,-12,62,30,49,44,43,23,27,1
-98,77,-19,4,-3,-13,-20,0,-4,-18,18,0,0
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,2
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,0
90,-91,16,-5,-159,-17,35,5,-53,-48,55,68,2
83,-96,-11,-16,-22,-11,21,-15,69,-17,-77,-19,0
79,-99,1,-5,6,-17,12,-17,-30,-17,-23,-19,0
80,-98,2,0,10,-16,9,-18,-25,-17,-19,-21,0
73,-106,0,1,1,-10,5,-24,-31,-18,-23,-27,0
60,-117,-34,-31,-44,-34,-6,-38,2,-37,-60,-41,0
58,-119,-35,-28,-56,-28,-10,-39,-50,-46,-56,-48,0
58,-121,-37,-38,-58,-43,0,-34,-57,-45,-54,-40,0
61,-120,-43,-38,-56,-39,-2,-34,-54,-43,-47,-42,0
66,-112,0,-10,-37,-12,11,-18,-54,-43,-46,-46,0
63,-125,-8,-18,-63,-38,3,-17,-68,-63,-71,-68,0
82,-92,0,-11,-16,-12,12,-15,-29,-22,-29,-26,0
83,-94,1,-2,3,-16,6,-18,-29,-20,-25,-26,0
90,-89,7,-6,-2,-6,29,-10,-21,-11,6,20,0
82,-95,-11,0,-15,6,10,-19,72,-93,-69,55,0
82,-99,-5,-3,-24,4,10,-17,75,-98,-71,51,0
82,-100,14,-21,26,-59,3,-21,72,-96,-73,50,0
81,-99,19,-21,7,-57,2,-23,75,-95,-72,52,0
83,-97,-3,-12,-15,-4,10,-20,80,-96,-64,51,0
82,-92,-4,-11,-14,-5,11,-18,75,-95,-66,53,0
84,-96,-4,-10,-15,-5,11,-19,74,-95,-67,52,0
82,-98,-2,-14,-22,-1,9,-20,79,-97,-63,51,0
88,-92,7,-12,-23,7,18,-16,85,-100,-59,49,0
86,-91,8,-16,-28,-7,20,-14,85,-99,-60,46,0
74,-101,-2,-7,-14,22,31,-27,110,-107,-52,39,0
97,-102,41,-42,-48,24,28,-31,82,-92,-58,42,0
84,-94,16,-19,-39,14,22,-17,78,-91,-57,46,0
89,-90,7,-10,-12,6,16,-12,81,-90,-52,48,0
82,-94,10,-21,-22,-3,9,-18,14,-53,-29,6,0
82,-93,-1,-10,-15,3,7,-16,-20,-12,-9,-18,0
85,-98,-2,-8,-16,2,7,-16,-24,-15,-10,-16,0
85,-94,-8,-13,-160,1,6,-17,-21,-15,-16,-14,0
84,-94,-2,-13,178,6,7,-17,-23,-13,-16,-14,0
84,-92,2,-9,-17,9,14,-21,-11,-94,-18,43,0
99,-82,1,6,-2,40,18,-7,106,-50,-36,86,0
75,-101,-18,-1,-33,0,65,23,-17,-11,-32,-14,0
72,-99,-15,-5,-34,3,8,-32,-17,-99,-29,36,0
79,-99,-14,-6,-28,-1,0,-23,-26,-84,-21,12,0
84,-96,6,-14,-26,12,4,-22,78,-21,-69,-24,0
103,-80,-2,7,-2,39,14,-9,107,-49,-37,84,0
79,-90,-23,-6,-39,-7,67,22,-23,-30,-43,-22,0
84,-81,-20,-6,-41,-12,77,35,-20,-31,-41,-22,0
